date,total,hk_residents,mainland_visitors,other_visitors,day_of_week,month,is_weekend,is_holiday
2021-01-01,4510,4178,290,42,4,1,0,1
2021-01-02,5253,4845,361,47,5,1,1,0
2021-01-03,6976,6462,415,99,6,1,1,0
2021-01-04,6679,6131,485,63,0,1,0,0
2021-01-05,4006,3704,222,80,1,1,0,0
2021-01-06,3762,3492,197,73,2,1,0,0
2021-01-07,3592,3322,186,84,3,1,0,0
2021-01-08,4485,4163,240,82,4,1,0,0
2021-01-09,4508,4168,272,68,5,1,1,0
2021-01-10,5173,4783,301,89,6,1,1,0
2021-01-11,4129,3868,207,54,0,1,0,0
2021-01-12,5053,4770,227,56,1,1,0,0
2021-01-13,4132,3862,216,54,2,1,0,0
2021-01-14,4913,4621,196,96,3,1,0,0
2021-01-15,5684,5350,243,91,4,1,0,0
2021-01-16,5264,4921,283,60,5,1,1,0
2021-01-17,5019,4717,235,67,6,1,1,0
2021-01-18,4363,4094,236,33,0,1,0,0
2021-01-19,4610,4282,239,89,1,1,0,0
2021-01-20,4292,4015,228,49,2,1,0,0
2021-01-21,3762,3467,228,67,3,1,0,0
2021-01-22,3739,3487,173,79,4,1,0,0
2021-01-23,4075,3790,216,69,5,1,1,0
2021-01-24,3963,3687,194,82,6,1,1,0
2021-01-25,2669,2497,132,40,0,1,0,0
2021-01-26,3318,3081,175,62,1,1,0,0
2021-01-27,3251,3038,152,61,2,1,0,0
2021-01-28,3446,3214,153,79,3,1,0,0
2021-01-29,3224,3064,113,47,4,1,0,0
2021-01-30,3141,2986,115,40,5,1,1,0
2021-01-31,2998,2844,102,52,6,1,1,0
2021-02-01,1905,1791,73,41,0,2,0,0
2021-02-02,2615,2434,114,67,1,2,0,0
2021-02-03,2994,2839,114,41,2,2,0,0
2021-02-04,2930,2785,111,34,3,2,0,0
2021-02-05,4010,3811,135,64,4,2,0,0
2021-02-06,3729,3543,118,68,5,2,1,0
2021-02-07,3544,3357,119,68,6,2,1,0
2021-02-08,2256,2130,98,28,0,2,0,0
2021-02-09,2872,2699,117,56,1,2,0,0
2021-02-10,2686,2526,116,44,2,2,0,0
2021-02-11,1625,1533,66,26,3,2,0,0
2021-02-12,1276,1199,41,36,4,2,0,1
2021-02-13,1374,1263,73,38,5,2,1,1
2021-02-14,2586,2372,148,66,6,2,1,0
2021-02-15,3319,3127,152,40,0,2,0,1
2021-02-16,4112,3840,195,77,1,2,0,0
2021-02-17,4542,4203,291,48,2,2,0,0
2021-02-18,5370,4925,226,219,3,2,0,0
2021-02-19,5779,5394,333,52,4,2,0,0
2021-02-20,6511,6083,373,55,5,2,1,0
2021-02-21,7244,6775,394,75,6,2,1,0
2021-02-22,6125,5764,297,64,0,2,0,0
2021-02-23,5609,5286,286,37,1,2,0,0
2021-02-24,4295,3995,255,45,2,2,0,0
2021-02-25,3751,3406,188,157,3,2,0,0
2021-02-26,3514,3252,199,63,4,2,0,0
2021-02-27,6036,5593,406,37,5,2,1,0
2021-02-28,7191,6677,447,67,6,2,1,0
2021-03-01,5995,5658,299,38,0,3,0,0
2021-03-02,5001,4652,298,51,1,3,0,0
2021-03-03,4579,4204,298,77,2,3,0,0
2021-03-04,3630,3289,255,86,3,3,0,0
2021-03-05,3922,3602,257,63,4,3,0,0
2021-03-06,4354,3996,321,37,5,3,1,0
2021-03-07,5198,4780,365,53,6,3,1,0
2021-03-08,3437,3174,221,42,0,3,0,0
2021-03-09,3722,3433,257,32,1,3,0,0
2021-03-10,4514,4118,272,124,2,3,0,0
2021-03-11,3106,2866,210,30,3,3,0,0
2021-03-12,3365,3051,254,60,4,3,0,0
2021-03-13,3629,3300,297,32,5,3,1,0
2021-03-14,3953,3625,261,67,6,3,1,0
2021-03-15,3082,2808,225,49,0,3,0,0
2021-03-16,3703,3394,270,39,1,3,0,0
2021-03-17,3354,3036,257,61,2,3,0,0
